3D Objects	::{0DB7E03F-FC29-4DC6-9020-FF41B59E513A}
Personalization	::{ED834ED6-4B5A-4bfe-8F11-A626DCB6A921}
Pictures	::{24ad3ad4-a569-4530-98e1-ab02f9417aa8}
Pictures	::{3ADD1653-EB32-4cb0-BBD7-DFA0ABB5ACCA}
Portable Devices	::{35786D3C-B075-49b9-88DD-029876E11C01}
Power Options	::{025A5937-A6BE-4686-A844-36FE4BEC8B6D}
Previous Versions	::{9DB7A13C-F208-4981-8353-73CC61AE2783}
Previous Versions Results Delegate Folder	::{a3c3d402-e56c-4033-95f7-4885e80b0111}
Previous Versions Results Folder	::{f8c2ab3b-17bc-41da-9758-339d7dbf2d88}
Printers	::{2227A280-3AEA-1069-A2DE-08002B30309D}
printhood delegate folder	::{ed50fc29-b964-48a9-afb3-15ebb9b97f36}
Programs and Features	::{7b81be6a-ce2b-4676-a29e-eb907a5126c5}
Public Folder	::{4336a54d-038b-4685-ab02-99bb52d3fb8b}
Quick Access	::{679f85cb-0220-4080-b29b-5540cc05aab6}
Recent Files	::{3134ef9c-6b18-4996-ad04-ed5912e00eb5}
Recent Items Instance Folder	::{4564b25e-30cd-4787-82ba-39e73a750b14}
Recent Places Folder	::{22877a6d-37a1-461a-91b0-dbda5aaebc99}
Recycle Bin	::{645FF040-5081-101B-9F08-00AA002F954E}
Remote File Browser	::{0907616E-F5E6-48D8-9D61-A91C3D28106D}
Remote Printers	::{863aa9fd-42df-457b-8e4d-0de1b8015c60}
RemoteApp and Desktop Connections	::{241D7C96-F8BF-4F85-B01F-E2B043341A4B}
Removable Drives	::{F5FB2C77-0E2F-4A16-A381-3E560C68BC83}
Removable Storage Devices	::{a6482830-08eb-41e2-84c1-73920c2badb9}
Results Folder	::{2965e715-eb66-4719-b53f-1672673bbefa}
Run...	::{2559a1f3-21d7-11d4-bdaf-00c04f60b9f0}
Security and Maintenance	::{BB64F8A7-BEE7-4E1A-AB8D-7D8273F7FDB6}
Set Program Access and Computer Defaults	::{2559a1f7-21d7-11d4-bdaf-00c04f60b9f0}
Show desktop	::{3080F90D-D7AD-11D9-BD98-0000947B0257}
Speech Recognition	::{58E3C745-D971-4081-9034-86E34B30836A}
Start Menu	::{48e7caab-b918-4e58-a94d-505519c795dc}
Storage Spaces	::{F942C606-0914-47AB-BE56-1321B8035096}
Switch between windows	::{3080F90E-D7AD-11D9-BD98-0000947B0257}
Sync Center	::{9C73F5E5-7AE7-4E32-A8E8-8D23B85255BF}
Sync Setup Folder	::{2E9E59C0-B437-4981-A647-9C34B9B90891}
System Recovery	::{9FE63AFD-59CF-4419-9775-ABCC3849F861}
System Restore	::{3f6bc534-dfa1-4ab4-ae54-ef25a74e0107}
Taskbar	::{05d7b0f4-2121-4eff-bf6b-ed3f69b894d9}
Taskbar	::{0DF44EAA-FF21-4412-828E-260A8728E7F1}
The Home folder in File Explorer	::{F874310E-B6B7-47DC-BC84-B9E6B38F5903}
This Device	::{5b934b42-522b-4c34-bbfe-37a3ef7b9c90}
This Device	::{f8278c54-a712-415b-b593-b77a2be0dda9}
This PC	::{20D04FE0-3AEA-1069-A2D8-08002B30309D}
Troubleshooting	::{C58C4893-3BE0-4B45-ABB5-A63E4B8C8651}
User Accounts	::{60632754-c523-4b62-b45c-4172da012619}
User Accounts	::{7A9D77BD-5403-11d2-8785-2E0420524153}
User Pinned	::{1f3427c8-5c10-4210-aa03-2ee45287d668}
UsersFiles	::{59031a47-3f72-44a7-89c5-5595fe6b30ee}
Videos	::{A0953C92-50DC-43bf-BE83-3742FED03C9C}
Videos	::{f86fa3ab-70d2-4fc7-9c99-fcbf05467f3a}
Windows Defender Firewall	::{4026492F-2F69-46B8-B9BF-5654FC07E423}
Windows Features	::{67718415-c450-4f3c-bf8a-b487642dc39b}
Windows Mobility Center	::{5ea4f148-308c-46d7-98a9-49041b1dd468}
Windows Search	::{2559a1f8-21d7-11d4-bdaf-00c04f60b9f0}
Windows Security	::{2559a1f2-21d7-11d4-bdaf-00c04f60b9f0}
Windows Tools	::{D20EA4E1-3957-11d2-A40B-0C5020524153}
Work Folders'	::{ECDB0924-4208-451E-8EE0-373C0956DE16}
